GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households,"v_CA21_3: Population percentage change, 2016 to 2021"
5350292,CT,292,3.7345,8580,2936,2790,27.7
5350293,CT,293,2.0084,6808,2410,2326,9.1
5350294.01,CT,294.01,0.8618,4177,1580,1527,-4.8
5350294.02,CT,294.02,1.0199,4449,1442,1387,-1.2
5350295,CT,295,1.0854,5481,2030,1953,5.8
5350296,CT,296,4.6465,1744,689,653,2625
5350297.01,CT,297.01,1.1337,7239,3069,2925,-1
5350297.02,CT,297.02,1.5096,6646,2684,2547,2.2
5350298,CT,298,2.2618,4561,1612,1532,-2.1
5350299.01,CT,299.01,2.8825,6289,2375,2237,0.5
5350299.02,CT,299.02,0.1593,5130,3025,2786,-2.2
5350300.01,CT,300.01,0.1208,3850,2404,2141,-1.1
5350300.02,CT,300.02,0.2063,7505,4136,3889,0.8
5350300.03,CT,300.03,0.7065,2448,1024,969,5.2
5350301.01,CT,301.01,0.8978,2863,1085,1053,-1.8
5350301.03,CT,301.03,0.2736,8324,3779,3496,19.8
5350301.04,CT,301.04,1.4262,8766,4256,3962,49.6
5350302.01,CT,302.01,1.2292,6114,2409,2344,-2.2
5350302.02,CT,302.02,1.0839,5867,2068,1993,-4.4
5350302.03,CT,302.03,0.6939,3267,1187,1105,-4.6
5350303,CT,303,1.0633,6080,2470,2288,13.5
5350304.01,CT,304.01,0.2493,4404,1619,1573,-3
5350304.02,CT,304.02,1.2122,4595,1884,1815,-3.8
5350304.03,CT,304.03,0.9843,2484,868,850,-14.3
5350304.04,CT,304.04,0.2344,3482,1412,1323,-6.5
5350304.05,CT,304.05,0.703,2686,1111,1069,-5.7
5350304.06,CT,304.06,0.7489,5725,2232,2168,-1.4
5350305.01,CT,305.01,2.4076,4421,1674,1599,-0.7
5350305.03,CT,305.03,0.7113,4766,2300,2126,-3
5350305.05,CT,305.05,0.3747,6580,3689,3431,16.7
5350305.06,CT,305.06,0.6291,4366,2775,2452,24.9
5350306.01,CT,306.01,1.1721,4612,1601,1508,0.8
5350306.02,CT,306.02,1.1185,4686,1846,1722,-2.2
5350307.03,CT,307.03,0.1101,4957,2546,2336,-1.6
5350307.04,CT,307.04,0.153,6919,3889,3386,-1.6
5350307.05,CT,307.05,0.1046,3365,2032,1870,-6
5350307.06,CT,307.06,0.1042,5057,2412,2250,-6.8
5350307.07,CT,307.07,1.2246,6216,2569,2381,-1.7
5350308.02,CT,308.02,1.4247,4327,1680,1573,0.4
5350308.03,CT,308.03,0.3967,1115,411,383,-2.8
5350308.05,CT,308.05,0.7395,2386,894,856,2.5
5350308.06,CT,308.06,0.1911,5585,3016,2848,-3
5350308.07,CT,308.07,0.1545,3797,2360,2170,11.9
5350309,CT,309,0.7366,6361,2442,2294,-0.3
5350310.01,CT,310.01,1.4131,3609,1275,1215,2.8
5350310.02,CT,310.02,2.1037,5328,2017,1921,5.5
5350311.02,CT,311.02,0.8905,6010,2312,2217,3.2
5350311.03,CT,311.03,0.8,2672,904,874,0.8
5350311.04,CT,311.04,0.9599,6517,2226,2158,-0.5
5350311.05,CT,311.05,0.3457,6698,2666,2443,-1.8
5350311.06,CT,311.06,10.2352,6660,2996,2655,15.9
5350312.02,CT,312.02,0.5212,3505,1180,1127,1.7
5350312.03,CT,312.03,1.4873,6374,2210,2114,-0.7
5350312.04,CT,312.04,0.7255,5234,1705,1618,-9.2
5350312.05,CT,312.05,0.3459,3685,1306,1270,-3.9
