GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,v_CA21_4818: Total - Generation status for the population in private households,v_CA21_4821: First generation,v_CA21_4824: Second generation,v_CA21_4827: Third generation or more,v_CA21_914: Income statistics for private households,v_CA21_917: Income statistics for one-person private households,v_CA21_920: Income statistics for two-or-more-persons private households,v_CA21_905: Income statistics for private households,"v_CA21_1: Population, 2021",v_CA21_6: Population density per square kilometre
5350169.02,CT,0169.02,0.4378,7596,3426,3252,7675,4840,1835,1000,3300,1070,2230,3250,7596,17350.4
5350170.00,CT,0170.00,1.0124,3407,1348,1266,3375,2040,925,405,1255,275,975,1265,3407,3365.3
5350171.00,CT,0171.00,0.61,3914,1572,1486,3650,2210,1160,280,1475,410,1065,1485,3914,6416.4
5350172.00,CT,0172.00,1.207,2505,1179,1087,2605,1455,770,385,1095,400,700,1090,2505,2075.4
5350173.00,CT,0173.00,0.5942,3586,1540,1400,3575,2035,1110,430,1385,405,980,1400,3586,6035
5350174.00,CT,0174.00,1.0531,7062,2755,2621,6795,4250,1995,550,2660,780,1885,2620,7062,6705.9
5350175.01,CT,0175.01,0.7906,5963,2565,2348,5630,3075,1805,750,2370,820,1545,2345,5963,7542.4
5350175.02,CT,0175.02,0.7229,8672,4253,3920,8660,5225,2270,1165,3920,1605,2315,3920,8672,11996.1
5350176.00,CT,0176.00,1.0009,4261,1762,1651,4385,1675,1400,1310,1630,395,1240,1650,4261,4257.2
5350180.00,CT,0180.00,0.6138,6462,3016,2753,6440,3170,1570,1700,2750,905,1845,2750,6462,10527.9
5350181.01,CT,0181.01,0.5706,4382,1928,1824,4445,1360,1415,1665,1825,480,1340,1825,4382,7679.6
5350181.02,CT,0181.02,0.6018,3546,1645,1554,3475,1310,965,1190,1555,540,1015,1555,3546,5892.3
5350182.00,CT,0182.00,0.7605,5407,2279,2141,5390,1660,1630,2100,2145,550,1600,2140,5407,7109.8
5350183.01,CT,0183.01,0.5241,2623,1046,1003,2590,805,890,900,975,265,705,1005,2623,5004.8
5350183.02,CT,0183.02,0.4281,4035,1621,1574,4050,1310,1295,1450,1565,355,1215,1570,4035,9425.4
5350184.01,CT,0184.01,0.4741,5008,2357,2228,5035,2230,1405,1400,2255,790,1465,2225,5008,10563.2
5350184.02,CT,0184.02,0.5571,3671,1706,1608,3635,1560,1050,1030,1630,540,1090,1605,3671,6589.5
5350185.01,CT,0185.01,0.4992,6836,3480,3279,6785,3255,1675,1850,3260,1275,1980,3280,6836,13693.9
